First Payment Date,Maturity Date,Loan Amount,Zip,Property Value,Year Built,Net Operating Income,Effective Gross Income,Total Operating Expenses,Maintenance Expense,Parking Expense,Taxes Expense,Insurance Expense,Utilities Expense,Payroll Expense
2017-08-01,2037-07-01,0.0,11238,0.0,,281087.98,313976.6,43010.64,3778.89,0.0,13098.28,4105.49,6570.82,1179.11
2017-07-01,2037-06-01,0.0,07740,6208259.86,1967,624595.51,652896.15,25326.3,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,2027-03-01,5003476.3,03053,6371255.08,1972,416410.47,670990.89,271772.73,36130.62,0.0,88182.79,18049.38,43824.1,47696.4
2017-04-01,2037-03-01,1946387.93,06105,2574168.21,1969,198369.6,486727.56,290708.08,43800.32,12306.97,107846.66,30151.89,38165.21,18335.34
2017-08-01,2029-07-01,0.0,40517,12561624.09,1978,793530.86,1711279.63,910664.31,129236.46,0.0,127787.16,39221.34,62490.0,198900.38
2017-04-01,2029-03-01,10697096.3,32244,14365006.32,1974,862878.89,1768226.73,928492.0,233823.91,0.0,114353.25,59831.62,169963.03,227617.04
2017-06-01,2027-05-01,2547925.81,02446,3998482.37,1910,192392.63,260911.81,70556.09,8225.71,0.0,29142.45,2120.18,20737.02,0.0
2015-10-01,2035-09-01,1508466.99,60657,1964420.08,1917,107908.21,149478.61,40219.47,5616.51,0.0,18042.01,4838.49,613.18,0.0
2017-07-01,2037-06-01,1941815.4,02136,3159184.18,1910,159784.58,221724.2,71666.28,11965.24,0.0,23887.97,6995.83,12946.3,0.0
2017-05-01,2027-04-01,4985366.8,77590,6956979.74,1974,499178.13,1101846.99,610632.05,85162.6,253.93,78500.46,63160.99,38311.41,135893.28
2017-06-01,2027-05-01,1916173.56,02120,3114548.07,1920,142132.96,184121.39,35138.81,8222.28,0.0,9995.14,1337.6,7328.99,0.0
2017-07-01,2027-06-01,0.0,75220,0.0,,2419859.65,4259830.44,1737635.89,299446.58,42097.25,452284.22,103497.21,331683.1,394719.84
2017-06-01,2037-05-01,2535602.59,99037,3736475.2,1979,254976.11,403885.94,157962.03,30834.06,0.0,28156.64,10893.97,62172.79,23473.36
2017-08-01,2037-07-01,0.0,11249,0.0,,324926.59,332632.05,12907.49,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-07,2037-07-07,0.0,11213,4564122.93,1910,207990.85,335150.38,121558.79,8534.83,0.0,38153.72,11517.34,18660.71,9164.69
2017-07-12,2037-06-12,0.0,11205,4268829.12,1905,202368.35,242623.32,45577.21,3551.57,0.0,20956.17,3912.63,733.42,2501.41
,,0.0,97116,3530125.48,1976,296549.42,310462.24,15315.42,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-07,2037-07-07,0.0,11221,6089329.0,1916,329226.91,500565.49,163942.73,11743.98,0.0,60297.41,16699.03,15614.62,13223.67
2017-03-01,2037-02-01,4215037.09,85208,6818502.81,1978,448826.11,771531.9,343154.68,43832.32,0.0,17589.04,10993.82,44493.09,109908.17
2017-07-01,2037-06-01,4641277.56,10474,7637736.38,1925,415824.38,616057.83,217100.56,22473.47,0.0,90204.92,14529.61,59509.79,14892.81
2017-04-01,2022-03-01,4926999.69,33435,6512235.85,1962,344832.79,677074.62,324096.23,69348.74,0.0,115814.22,36353.38,9069.79,790.68
2017-06-01,2037-05-01,3900974.51,11221,5685960.04,1931,299697.24,418250.83,98147.48,20461.87,0.0,1184.25,11751.25,20369.79,5839.58
2017-02-01,2027-01-01,33432896.91,32803,47404451.78,1988,2715689.36,4691035.04,1849108.03,321299.66,27244.07,690025.66,111167.55,66201.8,349453.76
2017-05-01,2037-04-01,2987205.93,97220,4256207.48,1968,246394.16,372029.58,136315.37,30562.67,0.0,29698.5,4955.52,4953.82,18501.69
2017-06-01,2037-05-01,2092530.37,11210,2800799.53,1931,148142.41,201035.26,53580.63,4380.65,0.0,17529.87,3397.84,8661.61,3962.71
2017-03-01,2027-02-01,3376379.75,32726,4691590.65,2006,312336.63,661637.26,352153.7,44826.19,0.0,44035.67,19196.97,64585.45,67507.1
2017-07-01,2027-06-01,0.0,21211,2570200.96,2015,158048.19,223963.17,61800.15,7278.11,2527.69,23729.2,5003.63,2852.35,0.0
2016-08-01,2026-07-01,12869579.7,75067,16461314.09,1983,1032863.85,2129682.09,1048170.81,172025.26,5200.0,315940.04,55134.85,31724.57,225198.45
2017-06-15,2037-05-15,0.0,11207,5529987.69,2016,264829.53,334361.98,80980.47,5866.64,0.0,44194.62,5461.08,1495.87,4153.47
2017-03-01,2032-02-01,12749258.75,10453,29806914.95,1974,1120936.96,3685139.73,2687576.79,594413.03,125071.85,450240.6,163178.79,321075.98,513183.26
2017-05-01,2029-04-01,1110184.58,21207,1562975.1,1970,95067.33,183778.61,85616.86,21470.48,0.0,27049.07,4322.77,7407.59,8139.91
,,0.0,80203,0.0,,344853.79,352737.01,13810.99,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,2024-05-01,34046301.19,,Error,,938538.44,1288185.3,344004.08,20526.96,0.0,218404.82,12433.6,21309.17,12524.07
2012-10-01,2022-09-01,5945087.34,,Error,1976,848659.47,1352674.84,493737.03,123997.22,0.0,51847.38,34908.52,25694.61,162320.82
,,0.0,23234,9131195.45,1968,444354.44,1109652.51,690688.69,163807.75,0.0,67621.77,65799.85,12701.07,145266.39
,,0.0,11216,2852104.2,1931,154502.94,166932.65,6415.59,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2027-07-01,0.0,94803,22032470.79,"1991, 2003",1042919.0,1667796.9,657971.99,121173.71,83302.57,302135.33,20185.74,3186.72,104632.82
2017-07-01,2037-06-01,3182083.93,60056,4061903.17,1966,247500.54,460016.32,215796.15,36369.96,0.0,68908.89,11783.7,20689.73,12723.32
2017-10-01,2018-02-01,0.0,90025,5393919.92,1987,186635.85,315635.01,140216.41,20927.74,0.0,65389.76,4680.68,13583.21,12662.59
2017-07-03,2022-06-03,0.0,10952,Error,2015,154859.44,214754.26,65005.34,1475.49,0.0,47888.85,4338.22,1330.0,1481.61
2017-07-01,2029-06-01,0.0,34207,6842127.87,1973,392645.15,772075.73,382455.08,58620.58,0.0,67153.8,32324.99,47871.0,123816.8
2017-08-01,2037-07-01,0.0,80033,1627843.49,1958,96477.34,145599.4,47498.33,11493.72,41.14,8720.65,5617.04,5901.02,0.0
2017-02-01,2027-01-01,13185332.37,11772,46359096.31,1967,857988.88,2212965.46,1398501.38,220801.79,0.0,563760.72,227634.72,163771.09,99601.37
2017-02-01,2027-01-01,3363737.88,46227,4602570.48,1967,315469.53,734818.32,432785.83,68921.17,3433.48,53388.81,37902.26,34583.4,102040.83
2017-04-01,2027-03-01,1418521.5,49508,2334416.48,1964,172254.42,403269.44,226903.04,34639.58,1962.84,38627.62,17226.51,24577.31,60375.59
2017-03-01,2037-02-01,4404196.87,01550,5746902.61,1988,393904.74,632771.81,238466.33,59706.57,0.0,63702.74,19898.79,15927.63,14657.41
2017-04-01,2024-03-01,1694584.71,02911,2241353.49,1973,151190.78,265324.7,113805.15,23379.11,0.0,39564.08,14186.11,13707.1,0.0
2017-07-01,2029-06-01,126203863.33,19020,160593002.38,1969,9389322.98,14610212.09,4881434.91,910269.31,0.0,1681959.71,260119.5,0.0,947530.04
2017-07-01,2037-06-01,0.0,11207,2534137.35,1930,140090.16,228924.44,93035.83,8914.64,0.0,34631.94,8872.81,11149.36,7181.32
